[Header]	
System	TOC-L_ASI_EXSPGDSBL	
S/W Version	1.00	
User		
Date/Time	8/11/2021 12:45:02 PM	
Comments		

[System]	
Instrument Options	TOC/ASI/IC Unit/	

[Data]	
Type	Anal.	Sample Name	Sample ID	Origin	Cal. Curve	Manual Dilution	Notes	Comments	Date / Time	Spl. No.	Inj. No.	Analysis(Inj.)	Area	Mean Area	Conc.	Mean Conc.	Result	Mean Result	Rem.	SD Area	CV Area	SD Conc	CV Conc	Vial	Excluded	Inj. Vol.	Auto. Dil.	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 11:56:21 AM	1	1	NPOC	1.211	0.9473	0.5916	0.2943	NPOC:0.2943mg/L	NPOC:0.2943mg/L	*******	0.3730	39.38	0.4205	142.89	1	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 11:58:28 AM	1	2	NPOC	0.6835	0.9473	-0.00305	0.2943	NPOC:0.2943mg/L	NPOC:0.2943mg/L	*******	0.3730	39.38	0.4205	142.89	1	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:08:41 PM	1	1	NPOC	0.6314	0.6724	-0.06178	-0.01556	NPOC:-0.01556mg/L	NPOC:-0.01556mg/L	*******	0.05798	8.62	0.06537	-420.09	2	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:10:48 PM	1	2	NPOC	0.7134	0.6724	0.03066	-0.01556	NPOC:-0.01556mg/L	NPOC:-0.01556mg/L	*******	0.05798	8.62	0.06537	-420.09	2	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:21:01 PM	1	1	NPOC	0.3155	0.2843	-0.4179	-0.4530	NPOC:-0.4530mg/L	NPOC:-0.4530mg/L	*******	0.04405	15.49	0.04966	-10.96	3	0	150	10.00	
Unknown	NPOC	Init Clean	Init Clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_07_28_15_02_36.cal	1.00			8/10/2021 12:23:08 PM	1	2	NPOC	0.2532	0.2843	-0.4882	-0.4530	NPOC:-0.4530mg/L	NPOC:-0.4530mg/L	*******	0.04405	15.49	0.04966	-10.96	3	0	150	10.00	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:32:48 PM	1	1	NPOC	0.6465	0.5905	0.000	 	 	 	*******	0.07927	13.42	0.000	0.00	9	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:34:55 PM	1	2	NPOC	0.5344	0.5905	0.000	 	 	 	*******	0.07927	13.42	0.000	0.00	9	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:45:45 PM	2	1	NPOC	9.474	9.509	1.000	 	 	 	*******	0.05020	0.53	0.000	0.00	5	0	150	5.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:48:10 PM	2	2	NPOC	9.545	9.509	1.000	 	 	 	*******	0.05020	0.53	0.000	0.00	5	0	150	5.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 12:57:28 PM	3	1	NPOC	23.13	23.30	2.500	 	 	 	*******	0.2333	1.00	0.000	0.00	5	0	150	2.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:00:01 PM	3	2	NPOC	23.46	23.30	2.500	 	 	 	*******	0.2333	1.00	0.000	0.00	5	0	150	2.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:09:03 PM	4	1	NPOC	47.55	47.41	5.000	 	 	 	*******	0.1980	0.42	0.000	0.00	5	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:12:19 PM	4	2	NPOC	47.27	47.41	5.000	 	 	 	*******	0.1980	0.42	0.000	0.00	5	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:24:02 PM	5	1	NPOC	90.73	91.28	10.00	 	 	 	*******	0.7778	0.85	0.000	0.00	6	0	150	2.500	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:27:19 PM	5	2	NPOC	91.83	91.28	10.00	 	 	 	*******	0.7778	0.85	0.000	0.00	6	0	150	2.500	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:36:50 PM	6	1	NPOC	226.6	225.2	25.00	 	 	 	*******	2.051	0.91	0.000	0.00	6	0	150	1.000	
Standard	NPOC	Cal_150inj	Untitled	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal		1.00	Cal Curve OK		8/10/2021 1:40:05 PM	6	2	NPOC	223.7	225.2	25.00	 	 	 	*******	2.051	0.91	0.000	0.00	6	0	150	1.000	
Control	NPOC	BLK1	B213034-BLK1	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 0.08803 / Control within range!		8/10/2021 1:49:51 PM	1	1	NPOC	2.496	1.918	0.1524	0.08803	NPOC:0.08803mg/L	NPOC:0.08803mg/L	*******	0.8174	42.62	0.09106	103.44	9	0	150	1.000	
Control	NPOC	BLK1	B213034-BLK1	C:\TOC-L\Templates\BLANK Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 0.08803 / Control within range!		8/10/2021 1:54:05 PM	1	2	NPOC	1.340	1.918	0.02364	0.08803	NPOC:0.08803mg/L	NPOC:0.08803mg/L	*******	0.8174	42.62	0.09106	103.44	9	0	150	1.000	
Control	NPOC	ICC	ICC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 100.2 / Control within range!		8/10/2021 2:05:03 PM	1	1	NPOC	46.62	46.11	5.068	5.011	NPOC:5.011mg/L	NPOC:5.011mg/L	*******	0.7212	1.56	0.08035	1.60	5	0	150	1.000	
Control	NPOC	ICC	ICC	C:\TOC-L\Templates\ICC_CCC Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 100.2 / Control within range!		8/10/2021 2:09:08 PM	1	2	NPOC	45.60	46.11	4.954	5.011	NPOC:5.011mg/L	NPOC:5.011mg/L	*******	0.7212	1.56	0.08035	1.60	5	0	150	1.000	
Control	NPOC	CCV1	B213034-CCV1	C:\TOC-L\Templates\QCS Main 12102020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.0 / Control within range!		8/10/2021 2:19:47 PM	1	1	NPOC	46.45	46.45	5.049	5.050	NPOC:5.050mg/L	NPOC:5.050mg/L	*******	0.00707	0.02	0.00079	0.02	7	0	150	1.000	
Control	NPOC	CCV1	B213034-CCV1	C:\TOC-L\Templates\QCS Main 12102020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 101.0 / Control within range!		8/10/2021 2:24:07 PM	1	2	NPOC	46.46	46.45	5.050	5.050	NPOC:5.050mg/L	NPOC:5.050mg/L	*******	0.00707	0.02	0.00079	0.02	7	0	150	1.000	
Control	NPOC	BS1	B213034-BS1	C:\TOC-L\Templates\LFB Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 99.88 / Control within range!		8/10/2021 2:35:12 PM	1	1	NPOC	45.86	45.95	4.983	4.994	NPOC:4.994mg/L	NPOC:4.994mg/L	*******	0.1344	0.29	0.01497	0.30	8	0	150	1.000	
Control	NPOC	BS1	B213034-BS1	C:\TOC-L\Templates\LFB Main 12292020.tpl	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00	Control value: 99.88 / Control within range!		8/10/2021 2:39:27 PM	1	2	NPOC	46.05	45.95	5.005	4.994	NPOC:4.994mg/L	NPOC:4.994mg/L	*******	0.1344	0.29	0.01497	0.30	8	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:19:19 PM	1	1	NPOC	1.213	1.058	0.00949	-0.00781	NPOC:-0.00781mg/L	NPOC:-0.00781mg/L	*******	0.2196	20.76	0.02447	-313.32	1	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:23:33 PM	1	2	NPOC	0.9024	1.058	-0.02511	-0.00781	NPOC:-0.00781mg/L	NPOC:-0.00781mg/L	*******	0.2196	20.76	0.02447	-313.32	1	0	150	1.000	
Unknown	NPOC	REB Dissolved	ES00130-01	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:34:12 PM	1	1	NPOC	18.34	18.96	1.918	1.987	NPOC:1.987mg/L	NPOC:1.987mg/L	*******	0.8768	4.62	0.09768	4.92	10	0	150	1.000	
Unknown	NPOC	REB Dissolved	ES00130-01	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:38:23 PM	1	2	NPOC	19.58	18.96	2.056	1.987	NPOC:1.987mg/L	NPOC:1.987mg/L	*******	0.8768	4.62	0.09768	4.92	10	0	150	1.000	
Unknown	NPOC	REB DUP Dissolved	B213034-DUP1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:48:55 PM	1	1	NPOC	19.62	19.34	2.060	2.029	NPOC:2.029mg/L	NPOC:2.029mg/L	*******	0.3960	2.05	0.04411	2.17	11	0	150	1.000	
Unknown	NPOC	REB DUP Dissolved	B213034-DUP1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 3:53:02 PM	1	2	NPOC	19.06	19.34	1.998	2.029	NPOC:2.029mg/L	NPOC:2.029mg/L	*******	0.3960	2.05	0.04411	2.17	11	0	150	1.000	
Unknown	NPOC	REB SPK Dissolved	B213034-MS1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:03:50 PM	1	1	NPOC	64.39	64.47	7.048	7.057	NPOC:7.057mg/L	NPOC:7.057mg/L	*******	0.1202	0.19	0.01339	0.19	12	0	150	1.000	
Unknown	NPOC	REB SPK Dissolved	B213034-MS1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:08:09 PM	1	2	NPOC	64.56	64.47	7.067	7.057	NPOC:7.057mg/L	NPOC:7.057mg/L	*******	0.1202	0.19	0.01339	0.19	12	0	150	1.000	
Unknown	NPOC	REB SPK DUP Dissolved	B213034-MSD1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:18:57 PM	1	1	NPOC	64.66	64.29	7.078	7.037	NPOC:7.037mg/L	NPOC:7.037mg/L	*******	0.5233	0.81	0.05829	0.83	13	0	150	1.000	
Unknown	NPOC	REB SPK DUP Dissolved	B213034-MSD1	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:23:11 PM	1	2	NPOC	63.92	64.29	6.995	7.037	NPOC:7.037mg/L	NPOC:7.037mg/L	*******	0.5233	0.81	0.05829	0.83	13	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:33:23 PM	1	1	NPOC	1.593	1.277	0.05183	0.01664	NPOC:0.01664mg/L	NPOC:0.01664mg/L	*******	0.4466	34.97	0.04975	298.93	1	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:37:37 PM	1	2	NPOC	0.9614	1.277	-0.01854	0.01664	NPOC:0.01664mg/L	NPOC:0.01664mg/L	*******	0.4466	34.97	0.04975	298.93	1	0	150	1.000	
Unknown	NPOC	RGB Dissolved	ES00130-03	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:48:00 PM	1	1	NPOC	14.85	15.15	1.529	1.562	NPOC:1.562mg/L	NPOC:1.562mg/L	*******	0.4172	2.75	0.04648	2.98	14	0	150	1.000	
Unknown	NPOC	RGB Dissolved	ES00130-03	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 4:52:22 PM	1	2	NPOC	15.44	15.15	1.594	1.562	NPOC:1.562mg/L	NPOC:1.562mg/L	*******	0.4172	2.75	0.04648	2.98	14	0	150	1.000	
Unknown	NPOC	RGBD Dissolved	ES00130-05	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:02:56 PM	1	1	NPOC	15.57	15.07	1.609	1.554	NPOC:1.554mg/L	NPOC:1.554mg/L	*******	0.7000	4.64	0.07799	5.02	15	0	150	1.000	
Unknown	NPOC	RGBD Dissolved	ES00130-05	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:06:53 PM	1	2	NPOC	14.58	15.07	1.499	1.554	NPOC:1.554mg/L	NPOC:1.554mg/L	*******	0.7000	4.64	0.07799	5.02	15	0	150	1.000	
Unknown	NPOC	RVB Dissolved	ES00130-06	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:17:19 PM	1	1	NPOC	14.48	14.13	1.487	1.449	NPOC:1.449mg/L	NPOC:1.449mg/L	*******	0.4950	3.50	0.05514	3.81	16	0	150	1.000	
Unknown	NPOC	RVB Dissolved	ES00130-06	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:21:24 PM	1	2	NPOC	13.78	14.13	1.410	1.449	NPOC:1.449mg/L	NPOC:1.449mg/L	*******	0.4950	3.50	0.05514	3.81	16	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:31:34 PM	1	1	NPOC	1.036	0.8771	-0.01023	-0.02793	NPOC:-0.02793mg/L	NPOC:-0.02793mg/L	*******	0.2248	25.63	0.02504	-89.65	2	0	150	1.000	
Unknown	NPOC	clean	clean	C:\TOC-L\Methods\NPOC Main 12102020.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:35:48 PM	1	2	NPOC	0.7181	0.8771	-0.04564	-0.02793	NPOC:-0.02793mg/L	NPOC:-0.02793mg/L	*******	0.2248	25.63	0.02504	-89.65	2	0	150	1.000	
Unknown	NPOC	RVBB Dissolved	ES00130-07	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:46:01 PM	1	1	NPOC	2.211	2.139	0.1207	0.1127	NPOC:0.1127mg/L	NPOC:0.1127mg/L	*******	0.1018	4.76	0.01134	10.07	17	0	150	1.000	
Unknown	NPOC	RVBB Dissolved	ES00130-07	C:\TOC-L\Methods\NPOC Dissolved Main.met	C:\TOC-L\CalCurves\NPOC Cal_Main 12102020.2021_08_10_12_23_08.cal	1.00			8/10/2021 5:50:17 PM	1	2	NPOC	2.067	2.139	0.1046	0.1127	NPOC:0.1127mg/L	NPOC:0.1127mg/L	*******	0.1018	4.76	0.01134	10.07	17	0	150	1.000	
